"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Vientos, Mark","668901","136","11.5",33.8,"110.4","90.6","100.4","94.6","86","403","165","371","62",45.6,"10",7.4,4.9
"Sweeney, Trey","700242","136","9",28.7,"110.8","88.3","98.9","92.1","85.5","409","149","382","46",33.8,"8",5.9,4
"Yastrzemski, Mike","573262","134","16.6",35.1,"106.8","90.6","99.6","93.8","86.3","387","181","375","56",41.8,"11",8.2,5.3
"O'Hearn, Ryan","656811","134","9.1",41,"109.4","90.8","101.1","94.1","87.4","405","160","388","68",50.7,"12",9,6.3
"Stowers, Kyle","669065","134","13.7",38.8,"110.3","91.4","103.7","95.5","86.9","423","183","399","71",53,"27",20.1,12.4
"Ozuna, Marcell","542303","133","14.2",35.3,"112.1","92.2","103.2","96.4","87.9","464","175","416","69",51.9,"15",11.3,6.4
"McCutchen, Andrew","457705","133","12.8",27.1,"110.2","89","99.8","94.5","87.1","417","149","406","56",42.1,"13",9.8,6.6
"Smith, Josh","669701","132","14.1",31.8,"108.2","88","98.3","92.3","84.4","403","157","393","46",34.8,"7",5.3,3.8
"Soler, Jorge","624585","132","13.6",32.6,"112.7","89.6","101.2","94.5","87.3","417","164","392","53",40.2,"15",11.4,7
"Kepler, Max","596146","132","14.4",32.6,"109.4","90.4","100.9","94.2","88.7","422","176","387","62",47,"16",12.1,8.2
"Langford, Wyatt","694671","132","16.5",31.8,"113.1","91.7","102.9","97.3","85.6","431","176","390","66",50,"19",14.4,9.3
"Frazier, Adam","624428","132","15.5",32.6,"101.1","84.4","93.7","87.6","81.9","365","164","350","21",15.9,"0",0,0
"Kiner-Falefa, Isiah","643396","132","5.3",34.1,"105.5","86.3","96.2","89.1","85.4","391","132","382","37",28,"3",2.3,1.8
"Doyle, Brenton","686668","131","13.1",35.9,"111.3","90.2","101.5","94.3","86.7","421","175","393","59",45,"19",14.5,9.8
"Hernández, Teoscar","606192","131","12.4",40.5,"112.5","89","102.1","93.6","83.8","436","176","392","57",43.5,"17",13,9.7
"Santander, Anthony","623993","130","18.5",28.5,"110.4","89.9","100","93.8","88.2","409","166","393","53",40.8,"6",4.6,2.9
"Mullins, Cedric","656775","130","23.7",35.4,"108.4","89.5","99.6","93","85.3","396","191","382","51",39.2,"10",7.7,4.8
"Sheets, Gavin","657757","129","16.5",42.6,"110.1","92.7","102","97.3","88","439","190","398","70",54.3,"15",11.6,8
"Realmuto, J.T.","592663","128","10.1",35.9,"109.3","90.7","101.8","95.1","86.6","418","163","403","57",44.5,"14",10.9,7.1
"Bleday, JJ","668709","127","22",28.3,"109.9","88.8","99.7","91.5","88.8","402","176","371","51",40.2,"5",3.9,2.6
"Campbell, Kristian","692225","127","7.7",32.3,"112.2","89.3","100.9","95.3","85.3","431","143","382","55",43.3,"8",6.3,3.9
"Arozarena, Randy","668227","127","13.8",34.6,"112.3","91.9","102.9","95.9","90.8","424","166","391","63",49.6,"14",11,6
"McKinstry, Zach","656716","126","11.6",46.8,"108.7","86.2","97.2","91.9","80.3","379","160","368","44",34.9,"8",6.3,4
"Winn, Masyn","691026","126","17",37.3,"109","88.8","100.1","92.5","88","403","175","391","47",37.3,"10",7.9,5.3
"Busch, Michael","683737","125","15.2",40,"110.4","90.8","101","93.7","86.2","411","196","391","60",48,"17",13.6,8.5
"McMahon, Ryan","641857","125","14.8",32,"111.2","94.4","103.4","96.5","91.6","436","172","411","64",51.2,"16",12.8,7.1
"Hoskins, Rhys","656555","125","20.8",44.8,"111.1","91.5","100.4","94.5","86.7","440","198","397","58",46.4,"15",12,7.2
"Arias, Gabriel","672356","125","6.6",28.8,"112.3","88.5","100.5","96.2","82.4","424","140","402","49",39.2,"12",9.6,6.1
"Bell, Josh","605137","125","10.8",32.8,"111.7","88.9","101.2","96.9","81.8","433","167","397","51",40.8,"14",11.2,7.4
"Aranda, Jonathan","666018","124","12.2",38.7,"111.4","92.5","102.8","93.9","92","433","159","386","69",55.6,"14",11.3,7.1
"Rice, Ben","700250","124","12.4",37.9,"113.2","94.5","105.2","98.4","91.2","423","177","391","72",58.1,"23",18.5,12
"Lopez, Otto","672640","124","6",31.5,"109.9","87.4","97.9","89.9","84.9","418","147","394","38",30.6,"11",8.9,6.9
"Polanco, Jorge","593871","124","12.7",33.9,"111.9","92","102.8","94.9","90.9","423","165","391","62",50,"17",13.7,10.8
